time,cat-694853-discharge,cat-694852-discharge,cat-694856-discharge,cat-694725-discharge,cat-694855-discharge,cat-694724-discharge,cat-694854-discharge,cat-694723-discharge,cat-694722-discharge,storm_name
2017-09-17 08:00:00,18153.78861792664,48768.843602229346,14820.191308521436,40896.44735309203,13779.796138285805,5698.033382416712,16782.50540072736,5943.578131458109,4752.3233419716,Tropical Storm Jose
2017-09-17 09:00:00,19150.342717150234,51495.4150628412,14799.350821534588,40838.914831575385,13760.40050548986,5690.008430920157,17647.50060947869,5935.2167247321495,4745.637788677503,Tropical Storm Jose
2017-09-17 10:00:00,20088.559439340195,54064.7066045672,14778.51033454774,40781.38231005874,13741.029517716524,5682.009964412036,18455.745379952143,5926.855318006191,4738.9522353834045,Tropical Storm Jose
2017-09-17 11:00:00,20954.562742999413,56428.5397869383,14761.62568073895,40724.09777354864,13721.683174965798,5674.011497903917,19209.84376706869,5918.493911280232,4732.266682089308,Tropical Storm Jose
2017-09-17 12:00:00,21783.689685573885,58703.64353686245,14740.881677488154,40666.81323703853,13702.3861222603,5666.013031395798,19912.130440757486,5910.1670558217365,4725.608755048493,Tropical Storm Jose
2017-09-17 13:00:00,22560.61415692131,60835.467115131214,14720.13767423736,40609.52870052842,13683.113714577416,5658.067534864553,20565.299250936787,5901.874751630703,4718.978454260959,Tropical Storm Jose
2017-09-17 14:00:00,23393.17664674748,63002.14523650481,14766.546351277511,40552.49214902485,13663.890596939753,5650.09555334487,21171.41548254392,5893.58244743967,4712.348153473425,Tropical Storm Jose
2017-09-17 15:00:00,24072.924210118417,64866.71846764277,14745.995315498818,40495.45559752129,13644.692124324703,5642.176541802062,21732.81380550803,5885.290143248635,4705.717852685891,Tropical Storm Jose
2017-09-17 16:00:00,24713.18528884325,66620.83852063131,14725.44427972012,40438.667031024255,13625.51829673227,5634.23104527082,22251.559504766465,5877.032390325066,4699.115178151639,Tropical Storm Jose
2017-09-17 17:00:00,25177.207255305853,68043.40593920974,14619.89107248118,40381.878464527224,13606.39375918506,5626.3385187164495,22729.717865256534,5868.774637401494,4692.512503617385,Tropical Storm Jose
2017-09-17 18:00:00,25743.62637686765,69591.19868301529,14599.436520438538,40325.33788303672,13587.29386666046,5618.44599216208,23169.354171915576,5860.551435745388,4685.937455336414,Tropical Storm Jose
2017-09-17 19:00:00,26263.866389267067,71014.92470136452,14578.885484659844,40268.5493165397,13568.218619158475,5610.553465607712,23572.174529691805,5852.328234089278,4679.362407055443,Tropical Storm Jose
2017-09-17 20:00:00,27142.831075739497,73041.89500037604,14716.664259739551,40212.25672005573,13549.192661701712,5602.687424041778,23939.974838530743,5844.10503243317,4672.787358774471,Tropical Storm Jose
2017-09-17 21:00:00,27578.29784426593,74235.54241424093,14696.402675169007,40155.71613856524,13530.191349267565,5594.821382475846,24274.64079337516,5835.916382044526,4666.239936746782,Tropical Storm Jose
2017-09-17 22:00:00,27993.463651759637,75372.0322394131,14676.141090598458,40099.42354208128,13511.239326878636,5586.981825898351,24577.69890917872,5827.727731655879,4659.692514719091,Tropical Storm Jose
